Region,Year,SurveyID,Lat,Lon,Depth,Habitat,Has_Photos
Puerto Rico,2016,1000,18.31136,-65.34066,40.02,AGRF,No
Puerto Rico,2016,1001,18.3143,-65.33475,35.75,AGRF,No
Puerto Rico,2016,1002,18.29841,-65.32479,51.5,PTRF,No
Puerto Rico,2016,1003,18.30202,-65.32148,53.46,PTRF,No
Puerto Rico,2016,1004,18.31435,-65.32726,47.56,PVMT,No
Puerto Rico,2016,1005,18.32018,-65.3327,40.02,PVMT,No
Puerto Rico,2016,1007,18.31569,-65.33329,35.1,PVMT,No
Puerto Rico,2016,1008,18.31202,-65.33509,13.12,AGRF,No
Puerto Rico,2016,1009,18.3269,-65.33095,3.61,AGRF,No
Puerto Rico,2016,1010,18.31059,-65.33875,3.61,BDRK,No
Puerto Rico,2016,1011,18.31629,-65.33055,3.94,BDRK,No
Puerto Rico,2016,1012,18.30528,-65.32798,11.48,PTRF,No
Puerto Rico,2016,1013,18.31184,-65.31681,11.48,SCR,No
Puerto Rico,2016,1014,18.30248,-65.32615,25.58,PVMT,No
Puerto Rico,2016,1015,18.30888,-65.32735,17.06,PTRF,No
Puerto Rico,2016,1017,18.32151,-65.32755,32.14,SCR,No
Puerto Rico,2016,1018,18.3901,-65.56336,90.86,AGRF,No
Puerto Rico,2016,1019,18.3915,-65.57132,77.08,AGRF,No
Puerto Rico,2016,1020,18.35498,-65.56694,51.17,PTRF,No
Puerto Rico,2016,1021,18.38077,-65.55602,74.78,PTRF,No
Puerto Rico,2016,1023,18.34408,-65.52139,62.65,PVMT,No
Puerto Rico,2016,1024,18.35796,-65.51013,44.94,PVMT,No
Puerto Rico,2016,1025,18.36439,-65.52036,66.91,PVMT,No
Puerto Rico,2016,1026,18.36406,-65.5006,92.5,PVMT,No
Puerto Rico,2016,1027,18.36408,-65.49566,79.05,PVMT,No
Puerto Rico,2016,1028,18.3698,-65.52486,69.86,PVMT,No
Puerto Rico,2016,1029,18.33913,-65.55685,66.58,PTRF,No
Puerto Rico,2016,1030,18.39148,-65.57402,82,PTRF,No
Puerto Rico,2016,1031,18.33812,-65.5616,16.73,PVMT,No
Puerto Rico,2016,1035,18.37651,-65.57025,17.71,PTRF,No
Puerto Rico,2016,1037,18.34444,-65.56046,3.61,AGRF,No
Puerto Rico,2016,1039,18.3652,-65.58943,32.14,PVMT,No
Puerto Rico,2016,1040,18.37651,-65.56044,28.54,PVMT,No
Puerto Rico,2016,1042,18.38037,-65.61176,27.55,PVMT,No
Puerto Rico,2016,1043,18.27222,-65.19358,92.5,AGRF,No
Puerto Rico,2016,1045,18.31235,-65.21959,43.95,AGRF,No
Puerto Rico,2016,1046,18.3114,-65.16896,88.89,AGRF,No
Puerto Rico,2016,1048,18.22877,-65.41286,69.86,PTRF,No
Puerto Rico,2016,1049,18.23523,-65.37103,71.83,PTRF,No
Puerto Rico,2016,1050,18.25028,-65.22734,77.08,PTRF,No
Puerto Rico,2016,1051,18.2524,-65.26464,80.69,PTRF,No
Puerto Rico,2016,1052,18.26485,-65.2287,74.46,PTRF,No
Puerto Rico,2016,1053,18.28482,-65.24242,40.02,PTRF,No
Puerto Rico,2016,1054,18.2861,-65.29699,44.61,PTRF,No
Puerto Rico,2016,1055,18.14121,-65.71238,39.69,PTRF,No
Puerto Rico,2016,1056,18.21541,-65.44628,58.71,PTRF,No
Puerto Rico,2016,1057,18.25686,-65.52937,34.11,PVMT,No
Puerto Rico,2016,1058,18.27202,-65.52132,45.92,PVMT,No
Puerto Rico,2016,1059,18.27823,-65.47784,56.09,PVMT,No
Puerto Rico,2016,1060,18.27462,-65.22791,65.93,PVMT,No
Puerto Rico,2016,1061,18.27367,-65.20013,62.65,AGRF,No
Puerto Rico,2016,1062,18.27856,-65.29791,60.68,PVMT,No
Puerto Rico,2016,1063,18.28798,-65.52086,54.12,PVMT,No
Puerto Rico,2016,1064,18.28657,-65.22418,63.96,PVMT,No
Puerto Rico,2016,1065,18.2884,-65.22589,60.02,PVMT,No
Puerto Rico,2016,1066,18.35374,-65.29431,78.72,PVMT,No
Puerto Rico,2016,1067,18.35649,-65.34166,75.44,PVMT,No
Puerto Rico,2016,1068,18.35763,-65.36471,54.45,PVMT,No
Puerto Rico,2016,1069,18.08749,-65.74406,43.95,AGRF,No
Puerto Rico,2016,1070,18.09755,-65.69804,56.09,AGRF,No
Puerto Rico,2016,1071,18.09886,-65.70934,52.48,AGRF,No
Puerto Rico,2016,1072,18.10437,-65.71738,54.78,AGRF,No
Puerto Rico,2016,1073,18.09878,-65.33181,69.86,PVMT,No
Puerto Rico,2016,1074,18.11034,-65.61709,56.74,PVMT,No
Puerto Rico,2016,1075,18.11126,-65.64402,72.16,SCR,No
Puerto Rico,2016,1076,18.12244,-65.63532,51.17,PVMT,No
Puerto Rico,2016,1077,18.1272,-65.688,45.59,PVMT,No
Puerto Rico,2016,1078,18.13183,-65.66637,53.14,PVMT,No
Puerto Rico,2016,1079,18.13252,-65.67904,42.64,PVMT,No
Puerto Rico,2016,1080,18.13182,-65.26546,43.62,PVMT,No
Puerto Rico,2016,1081,18.26487,-65.24705,83.97,SCR,No
Puerto Rico,2016,1082,18.312,-65.21819,82.98,SCR,No
Puerto Rico,2016,1084,18.10017,-65.70096,64.62,SCR,No
Puerto Rico,2016,1085,18.11999,-65.64644,66.91,SCR,No
Puerto Rico,2016,1087,18.08695,-65.44341,17.71,AGRF,No
Puerto Rico,2016,1088,18.09861,-65.37817,31.49,AGRF,No
Puerto Rico,2016,1089,18.11171,-65.33821,49.86,AGRF,No
Puerto Rico,2016,1093,18.3196,-65.24036,33.46,PTRF,No
Puerto Rico,2016,1094,18.11987,-65.7506,39.69,SCR,No
Puerto Rico,2016,1095,18.15002,-65.67142,24.93,PTRF,No
Puerto Rico,2016,1096,18.1633,-65.50648,29.52,PTRF,No
Puerto Rico,2016,1097,18.18834,-65.65147,24.6,PTRF,No
Puerto Rico,2016,1098,18.27179,-65.56673,28.86,PVMT,No
Puerto Rico,2016,1099,18.27109,-65.47798,39.69,PVMT,No
Puerto Rico,2016,1100,18.29056,-65.59155,35.1,AGRF,No
Puerto Rico,2016,1101,18.33972,-65.5989,29.85,SCR,No
Puerto Rico,2016,1102,18.34166,-65.26719,33.78,PVMT,No
Puerto Rico,2016,1104,18.07993,-65.48276,33.46,PVMT,No
Puerto Rico,2016,1105,18.11506,-65.33433,24.93,PVMT,No
Puerto Rico,2016,1106,18.11886,-65.31816,27.55,PVMT,No
Puerto Rico,2016,1107,18.15031,-65.48879,14.76,PVMT,No
Puerto Rico,2016,1108,18.16197,-65.40648,8.86,BDRK,No
Puerto Rico,2016,1109,18.28053,-65.28087,24.93,SCR,No
Puerto Rico,2016,1111,18.08595,-65.56237,19.68,PVMT,No
Puerto Rico,2016,1122,18.31042,-65.32626,53.14,PTRF,No
Puerto Rico,2016,1164,18.34315,-65.53499,37.72,SCR,No
Puerto Rico,2016,2000,18.38606,-65.63689,39.03,AGRF,No
Puerto Rico,2016,2001,18.40299,-65.70809,64.62,AGRF,No
Puerto Rico,2016,2003,18.38508,-65.64596,57.73,AGRF,No
Puerto Rico,2016,2004,18.39865,-65.64596,69.54,SCR,No
Puerto Rico,2016,2005,18.40328,-65.72664,43.95,PVMT,No
Puerto Rico,2016,2006,18.40341,-65.64742,75.11,SCR,No
Puerto Rico,2016,2007,18.40678,-65.6132,63.96,PVMT,No
Puerto Rico,2016,2008,18.41384,-65.61424,83.97,PVMT,No
Puerto Rico,2016,2017,18.38358,-65.71718,3.94,PTRF,No
Puerto Rico,2016,2021,18.37714,-65.65349,23.62,AGRF,No
Puerto Rico,2016,2023,18.29299,-67.24068,35.75,AGRF,No
Puerto Rico,2016,2024,18.2929,-67.23992,33.13,AGRF,No
Puerto Rico,2016,2025,18.35145,-67.27426,58.06,PVMT,No
Puerto Rico,2016,2026,18.38797,-67.23156,56.74,AGRF,No
Puerto Rico,2016,2027,18.39052,-67.22318,57.07,AGRF,No
Puerto Rico,2016,2031,18.46334,-66.05654,25.58,SCR,No
Puerto Rico,2016,2032,18.46289,-66.00464,9.51,AGRF,No
Puerto Rico,2016,2045,18.3567,-67.27304,22.63,AGRF,No
Puerto Rico,2016,2046,18.45371,-66.02283,9.84,AGRF,No
Puerto Rico,2016,2050,18.38389,-65.65499,44.61,AGRF,No
Puerto Rico,2016,2052,18.38084,-65.65386,42.64,PTRF,No
Puerto Rico,2016,2053,18.39228,-65.63861,54.12,PTRF,No
Puerto Rico,2016,2056,18.40358,-65.63886,63.96,PVMT,No
Puerto Rico,2016,2057,18.41325,-65.74689,47.56,AGRF,No
Puerto Rico,2016,2065,18.37875,-65.64167,14.76,BDRK,No
Puerto Rico,2016,2076,18.29261,-67.24162,59.04,AGRF,No
Puerto Rico,2016,2078,18.29648,-67.24607,72.16,AGRF,No
Puerto Rico,2016,3000,18.37813,-67.48349,67.9,AGRF,No
Puerto Rico,2016,3002,18.38568,-67.47112,86.59,PVMT,No
Puerto Rico,2016,3004,18.37663,-67.47728,66.91,PVMT,No
Puerto Rico,2016,3005,18.39335,-67.48423,65.6,BDRK,No
Puerto Rico,2016,3006,18.38113,-67.48667,41.66,AGRF,No
Puerto Rico,2016,3008,18.37887,-67.48382,46.9,BDRK,No
Puerto Rico,2016,3009,18.38112,-67.47209,43.62,BDRK,No
Puerto Rico,2016,3010,18.38355,-67.489,20.66,BDRK,No
Puerto Rico,2016,3011,18.39063,-67.47778,33.13,AGRF,No
Puerto Rico,2016,3012,18.37754,-67.48061,48.87,PVMT,No
Puerto Rico,2016,3014,18.04853,-67.87449,48.87,AGRF,No
Puerto Rico,2016,3015,18.09783,-67.93941,39.69,AGRF,No
Puerto Rico,2016,3016,18.04754,-67.89667,55.1,PVMT,No
Puerto Rico,2016,3017,18.05805,-67.85623,60.02,AGRF,No
Puerto Rico,2016,3019,18.06706,-67.85047,54.12,PTRF,No
Puerto Rico,2016,3020,18.09248,-67.94598,45.92,PTRF,No
Puerto Rico,2016,3021,18.0572,-67.86447,26.57,AGRF,No
Puerto Rico,2016,3022,18.06148,-67.85976,25.91,AGRF,No
Puerto Rico,2016,3026,18.07193,-67.85216,37.06,PVMT,No
Puerto Rico,2016,3028,18.05182,-67.90359,42.97,SCR,No
Puerto Rico,2016,3030,17.86802,-67.0833,65.6,AGRF,No
Puerto Rico,2016,3031,17.87833,-67.13705,95.12,AGRF,No
Puerto Rico,2016,3032,17.89452,-67.07791,72.49,AGRF,No
Puerto Rico,2016,3033,17.89427,-67.00869,58.06,AGRF,No
Puerto Rico,2016,3034,17.89536,-67.01438,53.46,AGRF,No
Puerto Rico,2016,3035,17.90837,-67.02813,73.47,AGRF,No
Puerto Rico,2016,3036,17.91142,-67.08159,46.58,AGRF,No
Puerto Rico,2016,3037,17.92586,-67.08847,49.53,AGRF,No
Puerto Rico,2016,3038,17.93944,-67.03694,42.64,AGRF,No
Puerto Rico,2016,3040,18.00345,-67.35309,56.09,HARD,No
Puerto Rico,2016,3041,18.01131,-67.3503,58.71,HARD,No
Puerto Rico,2016,3042,18.02209,-67.35117,62.98,HARD,No
Puerto Rico,2016,3043,18.05236,-67.35061,90.53,HARD,No
Puerto Rico,2016,3045,18.13427,-67.33333,45.59,HARD,No
Puerto Rico,2016,3046,18.16254,-67.3204,40.02,HARD,No
Puerto Rico,2016,3048,17.92213,-66.99948,61.01,PTRF,No
Puerto Rico,2016,3049,17.92854,-66.97656,46.9,PTRF,No
Puerto Rico,2016,3050,17.94373,-67.07207,50.18,PTRF,No
Puerto Rico,2016,3053,17.98121,-67.33256,46.58,PTRF,No
Puerto Rico,2016,3054,18.01347,-67.28562,52.48,PTRF,No
Puerto Rico,2016,3057,17.86206,-66.28579,81.02,PVMT,No
Puerto Rico,2016,3058,17.86295,-66.15689,82,PVMT,No
Puerto Rico,2016,3059,17.8891,-66.27213,78.72,PVMT,No
Puerto Rico,2016,3060,17.8969,-66.13382,69.86,PVMT,No
Puerto Rico,2016,3061,17.912,-66.1142,42.64,PVMT,No
Puerto Rico,2016,3062,17.9324,-66.0336,45.59,AGRF,No
Puerto Rico,2016,3063,17.9492,-65.981,43.62,PVMT,No
Puerto Rico,2016,3064,17.87529,-67.09562,64.94,PVMT,No
Puerto Rico,2016,3065,17.87796,-67.09452,73.8,PVMT,No
Puerto Rico,2016,3066,17.88363,-67.22342,57.73,PVMT,No
Puerto Rico,2016,3067,17.88666,-67.04931,59.7,AGRF,No
Puerto Rico,2016,3068,17.88652,-67.03945,68.88,PTRF,No
Puerto Rico,2016,3069,17.89366,-67.02995,49.86,AGRF,No
Puerto Rico,2016,3070,17.89984,-67.00706,50.18,AGRF,No
Puerto Rico,2016,3071,17.90596,-67.29213,69.54,PVMT,No
Puerto Rico,2016,3072,17.90698,-67.27184,57.07,PVMT,No
Puerto Rico,2016,3073,17.90983,-67.2397,37.72,PVMT,No
Puerto Rico,2016,3075,17.91616,-67.2594,41.98,PVMT,No
Puerto Rico,2016,3076,17.91547,-67.08476,49.53,AGRF,No
Puerto Rico,2016,3077,17.92023,-67.00885,43.95,AGRF,No
Puerto Rico,2016,3078,17.94476,-66.80973,34.77,PVMT,No
Puerto Rico,2016,3079,17.94924,-66.70738,40.02,PVMT,No
Puerto Rico,2016,3080,17.98129,-67.31896,55.1,AGRF,No
Puerto Rico,2016,3081,17.98671,-67.32674,46.58,AGRF,No
Puerto Rico,2016,3082,17.99382,-67.30399,59.04,AGRF,No
Puerto Rico,2016,3083,18.03226,-67.33058,76.1,PTRF,No
Puerto Rico,2016,3084,18.10474,-67.30848,62.65,PVMT,No
Puerto Rico,2016,3085,17.8761,-66.17447,91.84,SCR,No
Puerto Rico,2016,3086,17.8822,-66.1699,82.98,SCR,No
Puerto Rico,2016,3087,17.89108,-67.13511,87.58,SCR,No
Puerto Rico,2016,3088,17.89312,-67.15485,89.54,SCR,No
Puerto Rico,2016,3089,17.99044,-67.34884,54.12,SCR,No
Puerto Rico,2016,3090,17.9265,-66.1299,13.12,PVMT,No
Puerto Rico,2016,3091,17.9366,-66.0406,19.02,AGRF,No
Puerto Rico,2016,3093,17.91831,-67.10453,6.56,AGRF,No
Puerto Rico,2016,3094,17.92035,-67.07286,34.77,AGRF,No
Puerto Rico,2016,3095,17.92635,-66.94222,9.84,AGRF,No
Puerto Rico,2016,3096,17.94696,-66.98122,8.53,AGRF,No
Puerto Rico,2016,3098,17.89417,-66.52585,4.92,BDRK,No
Puerto Rico,2016,3100,18.04696,-67.39024,34.77,HARD,No
Puerto Rico,2016,3101,18.14616,-67.32849,35.75,HARD,No
Puerto Rico,2016,3102,18.14946,-67.33556,35.1,HARD,No
Puerto Rico,2016,3103,17.94346,-66.07121,36.08,PTRF,No
Puerto Rico,2016,3104,17.9469,-66.0881,24.93,PTRF,No
Puerto Rico,2016,3105,17.93189,-67.10159,27.88,PTRF,No
Puerto Rico,2016,3106,17.939,-67.0471,3.94,SCR,No
Puerto Rico,2016,3107,17.94542,-66.96798,5.9,PTRF,No
Puerto Rico,2016,3109,18.03262,-67.28522,24.93,PTRF,No
Puerto Rico,2016,3110,17.8857,-66.45966,42.64,AGRF,No
Puerto Rico,2016,3111,17.88832,-66.46056,35.1,PVMT,No
Puerto Rico,2016,3112,17.89936,-66.49815,24.93,PVMT,No
Puerto Rico,2016,3113,17.90414,-66.49773,30.5,PVMT,No
Puerto Rico,2016,3114,17.9366,-66.0189,35.1,PVMT,No
Puerto Rico,2016,3117,17.87725,-66.5399,35.1,PVMT,No
Puerto Rico,2016,3118,17.91524,-67.03212,39.03,PVMT,No
Puerto Rico,2016,3119,17.92094,-67.23393,29.52,PVMT,No
Puerto Rico,2016,3121,17.9244,-67.02678,36.08,PVMT,No
Puerto Rico,2016,3122,17.92876,-66.89223,37.72,PVMT,No
Puerto Rico,2016,3123,17.94464,-66.61743,23.62,PVMT,No
Puerto Rico,2016,3125,18.10381,-67.31337,34.44,AGRF,No
Puerto Rico,2016,3126,18.13144,-67.31483,37.06,PVMT,No
Puerto Rico,2016,3127,18.13558,-67.30358,35.1,PVMT,No
Puerto Rico,2016,3128,18.13629,-67.31326,35.75,PVMT,No
Puerto Rico,2016,3129,18.13786,-67.30277,29.85,PVMT,No
Puerto Rico,2016,3130,18.13882,-67.32537,36.74,PVMT,No
Puerto Rico,2016,3131,18.14648,-67.312970000000007,36.08,PVMT,No
Puerto Rico,2016,3132,18.14788,-67.25373,22.96,AGRF,No
Puerto Rico,2016,3134,18.24462,-67.2108,23.94,PVMT,No
Puerto Rico,2016,3137,17.94602,-66.8864,26.57,PTRF,No
Puerto Rico,2016,3184,17.9366,-66.91352,38.7,AGRF,No
Puerto Rico,2016,3193,17.8852,-66.284,86.92,SCR,No
Puerto Rico,2016,3195,17.8959,-66.1286,81.02,PVMT,No
Puerto Rico,2016,3196,17.9054,-66.0906,41.98,PVMT,No
Puerto Rico,2016,3201,17.90396,-66.94148,44.94,PVMT,No
Puerto Rico,2016,3208,17.8809,-66.1745,92.5,SCR,No
Puerto Rico,2016,3213,17.96109,-66.73229,20.01,PVMT,No
Puerto Rico,2016,3229,17.91654,-67.15224,33.78,PVMT,No
Puerto Rico,2019,6008,17.8859416,-67.1157867,81.67,AGRF,No
Puerto Rico,2019,6011,17.8861591,-67.0917227,57.07,AGRF,No
Puerto Rico,2019,6015,17.8896279,-67.0317674,64.62,AGRF,No
Puerto Rico,2019,6020,17.8929535,-67.237445,42.64,PVMT,No
Puerto Rico,2019,6021,17.8945292,-67.2619657,52.48,PVMT,No
Puerto Rico,2019,6022,17.8943726,-67.2445087,41,PVMT,No
Puerto Rico,2019,6023,17.8940192,-67.0642736,81.02,AGRF,No
Puerto Rico,2019,6027,17.8954343,-66.9812208,65.93,PVMT,No
Puerto Rico,2019,6030,17.900785,-67.0632565,51.82,AGRF,No
Puerto Rico,2019,6033,17.9022459,-67.0287973,75.77,AGRF,No
Puerto Rico,2019,6038,17.9082416,-66.9966463,57.73,AGRF,No
Puerto Rico,2019,6040,17.9126875,-67.2216775,25.58,PVMT,No
Puerto Rico,2019,6044,17.9165737,-66.9724882,41.98,AGRF,No
Puerto Rico,2019,6048,17.9223936,-67.296617,56.09,PVMT,No
Puerto Rico,2019,6050,17.9219077,-67.0078175,32.14,PVMT,No
Puerto Rico,2019,6053,17.9244636,-67.0370455,55.76,PTRF,No
Puerto Rico,2019,6054,17.9273171,-67.2913785,57.73,PVMT,No
Puerto Rico,2019,6058,17.9288979,-67.120051900000007,9.84,AGRF,No
Puerto Rico,2019,6062,17.9303353,-67.0369808,44.61,PVMT,No
Puerto Rico,2019,6066,17.9351944,-67.3139574,59.04,PVMT,No
Puerto Rico,2019,6085,17.9403658,-67.0916143,7.54,SCR,No
Puerto Rico,2019,6086,17.9427712,-67.3020859,59.04,PVMT,No
Puerto Rico,2019,6087,17.9395092,-66.962789,8.86,AGRF,No
Puerto Rico,2019,6097,17.9520271,-67.3274864,54.12,PTRF,No
Puerto Rico,2019,6098,17.9510184,-67.2142148,6.56,BDRK,No
Puerto Rico,2019,6100,17.9530319,-67.3392775,43.95,AGRF,No
Puerto Rico,2019,6103,17.9477694,-66.6918271,34.11,PVMT,No
Puerto Rico,2019,6107,17.9497713,-66.7083165,42.64,PTRF,No
Puerto Rico,2019,6109,17.9595546,-67.0678091,19.02,AGRF,No
Puerto Rico,2019,6112,17.9651154,-67.3259471,51.17,PTRF,No
Puerto Rico,2019,6114,17.96533,-67.0134671,13.12,AGRF,No
Puerto Rico,2019,6117,17.9728964,-67.3376757,44.61,PTRF,No
Puerto Rico,2019,6118,17.9672028,-66.7312157,5.58,AGRF,No
Puerto Rico,2019,6121,17.9723133,-66.7434208,3.61,AGRF,No
Puerto Rico,2019,6122,17.9791478,-67.3291195,55.43,AGRF,No
Puerto Rico,2019,6124,17.9832581,-67.334274,43.95,PTRF,No
Puerto Rico,2019,6125,17.9846417,-67.3375658,41.98,PTRF,No
Puerto Rico,2019,6126,17.9800098,-66.7065106,3.61,AGRF,No
Puerto Rico,2019,6128,17.9882557,-67.3375319,43.95,PTRF,No
Puerto Rico,2019,6129,17.9908849,-67.3280648,50.84,AGRF,No
Puerto Rico,2019,6130,17.9936482,-67.2321984,20.01,PTRF,No
Puerto Rico,2019,6131,17.9959111,-67.232648,14.76,PTRF,No
Puerto Rico,2019,6135,18.0063393,-67.2367934,13.78,PVMT,No
Puerto Rico,2019,6137,18.0116151,-67.3750876,39.69,HARD,No
Puerto Rico,2019,6140,18.0183187,-67.2626441,16.73,PTRF,No
Puerto Rico,2019,6141,18.0202723,-67.3306209,50.84,AGRF,No
Puerto Rico,2019,6143,18.0215813,-67.3783017,62.65,HARD,No
Puerto Rico,2019,6145,18.0277625,-67.3612448,66.91,HARD,No
Puerto Rico,2019,6146,18.0284589,-67.2852108,39.69,PTRF,No
Puerto Rico,2019,6152,18.0352138,-67.2827842,31.49,PTRF,No
Puerto Rico,2019,6155,18.0464443,-67.8924344,50.51,AGRF,No
Puerto Rico,2019,6160,18.0461568,-67.3998014,41,HARD,No
Puerto Rico,2019,6161,18.0501184,-67.9028036,49.53,PVMT,No
Puerto Rico,2019,6164,18.050881,-67.8782355,16.73,AGRF,No
Puerto Rico,2019,6165,18.0514685,-67.9018505,41,SCR,No
Puerto Rico,2019,6167,18.0512668,-67.8668961,63.96,AGRF,No
Puerto Rico,2019,6169,18.0522063,-67.8730309,16.73,AGRF,No
Puerto Rico,2019,6174,18.0544047,-67.8626246,50.84,AGRF,No
Puerto Rico,2019,6175,18.0550887,-67.9027728,10.5,AGRF,No
Puerto Rico,2019,6178,18.0529252,-67.3987956,33.13,HARD,No
Puerto Rico,2019,6181,18.0574225,-67.9159853,61.01,SCR,No
Puerto Rico,2019,6184,18.0540077,-67.366197,77.74,HARD,No
Puerto Rico,2019,6185,18.0552036,-67.4011365,34.77,HARD,No
Puerto Rico,2019,6187,18.0620357,-67.8540723,54.12,PVMT,No
Puerto Rico,2019,6189,18.0661779,-67.4170967,65.93,HARD,No
Puerto Rico,2019,6190,18.0674555,-67.4076384,39.69,HARD,No
Puerto Rico,2019,6191,18.0750767,-67.4004843,64.62,HARD,No
Puerto Rico,2019,6192,18.073748,-67.2474573,17.71,AGRF,No
Puerto Rico,2019,6196,18.1081426,-67.9359927,65.6,BDRK,No
Puerto Rico,2019,6204,18.092483,-65.581883,42.97,AGRF,No
Puerto Rico,2019,6210,18.097183,-65.612017,58.71,AGRF,No
Puerto Rico,2019,6211,18.09383,-65.33327,81.67,AGRF,No
Puerto Rico,2019,6213,18.099333,-65.574783,15.74,BDRK,No
Puerto Rico,2019,6214,18.1222993,-67.2710702,20.66,PTRF,No
Puerto Rico,2019,6215,18.1027,-65.6452,86.59,SCR,No
Puerto Rico,2019,6217,18.1264114,-67.276227,24.93,PVMT,No
Puerto Rico,2019,6218,18.09932,-65.32802,75.11,AGRF,No
Puerto Rico,2019,6221,18.10064,-65.37646,23.94,PVMT,No
Puerto Rico,2019,6223,18.105083,-65.578467,15.74,BDRK,No
Puerto Rico,2019,6224,18.10336,-65.3892,36.08,SCR,No
Puerto Rico,2019,6226,18.10427,-65.36746,26.57,AGRF,No
Puerto Rico,2019,6229,18.10693,-65.40842,4.92,BDRK,No
Puerto Rico,2019,6230,18.10619,-65.3718,27.55,PVMT,No
Puerto Rico,2019,6232,18.10658,-65.36929,20.99,AGRF,No
Puerto Rico,2019,6234,18.10986,-65.34796,56.09,SCR,No
Puerto Rico,2019,6235,18.116817,-65.636683,64.94,SCR,No
Puerto Rico,2019,6236,18.11191,-65.36736,26.57,PTRF,No
Puerto Rico,2019,6237,18.139382,-67.3124834,29.85,PVMT,No
Puerto Rico,2019,6238,18.1405035,-67.3375163,40.02,HARD,No
Puerto Rico,2019,6239,18.118933,-65.624517,41.66,PVMT,No
Puerto Rico,2019,6240,18.141702,-67.268517,25.58,SCR,No
Puerto Rico,2019,6242,18.120283,-65.630617,54.12,SCR,No
Puerto Rico,2019,6243,18.1433436,-67.3006323,23.94,PVMT,No
Puerto Rico,2019,6245,18.1454439,-67.3341619,36.74,HARD,No
Puerto Rico,2019,6247,18.1463678,-67.3365158,37.72,HARD,No
Puerto Rico,2019,6248,18.1467768,-67.280280200000007,28.54,PVMT,No
Puerto Rico,2019,6249,18.12011,-65.29519,40.02,PVMT,No
Puerto Rico,2019,6251,18.1527678,-67.2433633,7.87,AGRF,No
Puerto Rico,2019,6252,18.1543882,-67.3236808,35.75,HARD,No
Puerto Rico,2019,6255,18.1580309,-67.326954,35.1,HARD,No
Puerto Rico,2019,6260,18.1448,-65.71547,28.86,AGRF,No
Puerto Rico,2019,6261,18.15412,-65.47327,30.18,AGRF,No
Puerto Rico,2019,6262,18.16306,-65.48622,13.12,AGRF,No
Puerto Rico,2019,6266,18.17505,-65.45859,52.15,PTRF,No
Puerto Rico,2019,6268,18.1832,-65.52634,36.08,AGRF,No
Puerto Rico,2019,6269,18.18226,-65.45924,59.04,SCR,No
Puerto Rico,2019,6271,18.20235,-65.51472,28.86,PVMT,No
Puerto Rico,2019,6272,18.21595,-65.46845,73.14,SCR,No
Puerto Rico,2019,6274,18.22701,-65.43779,75.11,SCR,No
Puerto Rico,2019,6275,18.23708,-65.25907,78.06,PTRF,No
Puerto Rico,2019,6277,18.25922,-65.22589,68.88,AGRF,No
Puerto Rico,2019,6278,18.26493,-65.4738,33.78,PVMT,No
Puerto Rico,2019,6279,18.26743,-65.47276,37.72,AGRF,No
Puerto Rico,2019,6281,18.2927885,-67.2410117,54.12,PTRF,No
Puerto Rico,2019,6283,18.293718,-67.2438398,54.78,AGRF,No
Puerto Rico,2019,6285,18.26689,-65.27883,89.54,SCR,No
Puerto Rico,2019,6286,18.26686,-65.25527,88.89,SCR,No
Puerto Rico,2019,6288,18.27504,-65.22978,69.86,PVMT,No
Puerto Rico,2019,6290,18.27635,-65.28819,61.99,SCR,No
Puerto Rico,2019,6293,18.28148,-65.24099,25.91,PTRF,No
Puerto Rico,2019,6294,18.28319,-65.25742,63.63,AGRF,No
Puerto Rico,2019,6295,18.28835,-65.50158,47.56,PVMT,No
Puerto Rico,2019,6299,18.28801,-65.20306,74.78,PVMT,No
Puerto Rico,2019,6300,18.29086,-65.20497,77.08,PVMT,No
Puerto Rico,2019,6302,18.29238,-65.22638,62.65,PVMT,No
Puerto Rico,2019,6305,18.29844,-65.32584,37.72,AGRF,No
Puerto Rico,2019,6307,18.29908,-65.32706,19.02,AGRF,No
Puerto Rico,2019,6316,18.30104,-65.32153,53.46,PTRF,No
Puerto Rico,2019,6318,18.30165,-65.32473,59.04,PTRF,No
Puerto Rico,2019,6320,18.30126,-65.31244,26.57,PTRF,No
Puerto Rico,2019,6321,18.30256,-65.32758,14.1,AGRF,No
Puerto Rico,2019,6324,18.30813,-65.59766,29.85,AGRF,No
Puerto Rico,2019,6325,18.303,-65.32658,25.58,PVMT,No
Puerto Rico,2019,6328,18.304,-65.32787,15.74,AGRF,No
Puerto Rico,2019,6330,18.3041,-65.312,13.12,SCR,No
